"full_name","name","e","a","ma","i","w","diameter","om","per_y","neo","pha","spkid","pdes"
"523788 (2015 FP118)",,0.5497,2.121,1.51,2.68,108.16,,201.34,3.09,Y,Y,20523788,523788
"523804 (2000 YF29)",,0.3713,1.492,355.90,6.30,28.10,,124.74,1.82,Y,Y,20523804,523804
"523813 (2008 VB1)",,0.2751,1.278,264.03,10.32,136.98,,50.35,1.44,Y,Y,20523813,523813
"523814 (2008 WN2)",,0.3118,1.418,95.98,3.75,283.40,,227.09,1.69,Y,Y,20523814,523814
"523816 (2009 ST103)",,0.7184,2.701,126.30,15.74,234.66,0.851,226.45,4.44,Y,Y,20523816,523816
"523820 (2011 GN44)",,0.5976,2.245,307.31,55.01,319.39,,16.93,3.36,Y,Y,20523820,523820
"523934 (1998 FF14)",,0.3123,1.253,251.74,38.69,301.12,,359.83,1.4,Y,Y,20523934,523934
"524475 (2002 KJ4)",,0.5570,2.271,207.24,27.92,155.48,,75.52,3.42,Y,Y,20524475,524475
"524594 (2003 NW1)",,0.6432,2.424,207.85,6.16,118.89,,265.02,3.77,Y,Y,20524594,524594
"525229 (2004 UU1)",,0.2732,1.226,295.27,29.97,113.63,,217.76,1.36,Y,Y,20525229,525229
"525231 (2004 VB)",,0.4090,1.459,77.99,10.86,71.61,,52.35,1.76,Y,Y,20525231,525231
"525356 (2005 BG14)",,0.7275,1.993,24.82,21.68,281.04,,94.91,2.81,Y,Y,20525356,525356
"525484 (2005 GL)",,0.3063,1.056,278.68,15.90,265.35,,43.61,1.09,Y,Y,20525484,525484
"526670 (2006 UL217)",,0.3486,1.43,201.09,9.92,310.12,,45.18,1.71,Y,Y,20526670,526670
"526878 (2007 FE)",,0.4570,1.794,90.40,7.00,135.21,,122.62,2.4,Y,Y,20526878,526878
"527715 (2007 YQ56)",,0.2881,1.141,213.19,26.45,273.09,,276.00,1.22,Y,Y,20527715,527715
"528804 (2009 BJ58)",,0.7127,1.849,61.52,13.02,85.94,,131.14,2.52,Y,Y,20528804,528804
"529366 (2009 WM1)",,0.1689,1.181,241.67,25.77,162.64,,240.25,1.28,Y,Y,20529366,529366
"529668 (2010 JL33)",,0.7350,2.677,70.72,5.38,309.89,1.778,52.45,4.38,Y,Y,20529668,529668
"529951 (2010 UD)",,0.2640,1.098,130.20,26.29,262.26,,23.74,1.15,Y,Y,20529951,529951
"530085 (2010 XC11)",,0.8492,2.519,139.28,9.12,121.47,,94.09,4,Y,Y,20530085,530085
"530520 (2011 LT17)",,0.2874,1.1,146.20,20.90,270.62,,83.45,1.15,Y,Y,20530520,530520
"530974 (2012 BN11)",,0.3950,1.457,39.68,4.36,69.77,,153.71,1.76,Y,Y,20530974,530974
"531277 (2012 MM11)",,0.6479,2.113,341.40,3.18,124.24,,245.42,3.07,Y,Y,20531277,531277
"531914 (2013 BW76)",,0.5337,2.058,350.41,40.36,0.56,,58.22,2.95,Y,Y,20531914,531914
"533372 (2014 GG17)",,0.3525,1.367,297.85,39.15,239.58,,195.28,1.6,Y,Y,20533372,533372
"533671 (2014 LJ21)",,0.8956,2.889,51.35,24.28,302.90,,126.58,4.91,Y,Y,20533671,533671
"533722 (2014 NE52)",,0.6585,2.385,256.99,3.86,337.61,0.701,54.52,3.68,Y,Y,20533722,533722
"535844 (2015 BY310)",,0.4008,1.587,277.70,4.79,229.53,,328.41,2,Y,Y,20535844,535844
"536531 (2015 DV215)",,0.4027,1.538,73.05,13.20,41.37,,13.92,1.91,Y,Y,20536531,536531
"538212 (2016 CA136)",,0.7812,2.032,18.73,1.26,125.01,0.654,239.74,2.9,Y,Y,20538212,538212
"539063 (2016 MK1)",,0.7160,1.5,94.81,10.78,240.70,,178.30,1.84,Y,Y,20539063,539063
