"full_name","name","e","a","ma","i","w","diameter","om","per_y","neo","pha","spkid","pdes"
"  1566 Icarus (1949 MA)",Icarus,0.8270,1.078,160.86,22.80,31.43,1.0,87.95,1.12,Y,Y,20001566,1566
"  1620 Geographos (1951 RA)",Geographos,0.3356,1.246,289.36,13.34,277.01,2.56,337.15,1.39,Y,Y,20001620,1620
"  1862 Apollo (1932 HA)",Apollo,0.5599,1.471,252.87,6.35,286.03,1.5,35.56,1.78,Y,Y,20001862,1862
"  1981 Midas (1973 EA)",Midas,0.6505,1.776,258.81,39.82,267.84,3.4,356.80,2.37,Y,Y,20001981,1981
"  2101 Adonis (1936 CA)",Adonis,0.7642,1.874,230.82,1.32,43.69,0.6,349.43,2.57,Y,Y,20002101,2101
"  2102 Tantalus (1975 YA)",Tantalus,0.2993,1.29,78.27,64.00,61.52,1.649,94.35,1.47,Y,Y,20002102,2102
"  2135 Aristaeus (1977 HA)",Aristaeus,0.5030,1.6,202.31,23.07,290.97,,191.11,2.02,Y,Y,20002135,2135
"  2201 Oljato (1947 XC)",Oljato,0.7107,2.179,334.42,2.52,98.37,1.80,74.87,3.22,Y,Y,20002201,2201
"  3200 Phaethon (1983 TB)",Phaethon,0.8898,1.271,248.98,22.31,322.31,6.25,265.10,1.43,Y,Y,20003200,3200
"  3361 Orpheus (1982 HR)",Orpheus,0.3229,1.21,24.54,2.66,302.34,0.3,188.68,1.33,Y,Y,20003361,3361
"  3671 Dionysus (1984 KD)",Dionysus,0.5420,2.2,131.35,13.54,204.33,1.5,82.05,3.26,Y,Y,20003671,3671
"  3757 Anagolay (1982 XB)",Anagolay,0.4459,1.834,293.70,3.87,17.24,0.5,74.93,2.48,Y,Y,20003757,3757
"  4015 Wilson-Harrington (1979 VA)",Wilson-Harrington,0.6312,2.626,181.75,2.80,95.52,4,266.73,4.25,Y,Y,20004015,4015
"  4034 Vishnu (1986 PA)",Vishnu,0.4441,1.06,260.40,11.17,296.70,0.42,157.89,1.09,Y,Y,20004034,4034
"  4179 Toutatis (1989 AC)",Toutatis,0.6248,2.543,339.68,0.45,277.88,5.4,125.36,4.06,Y,Y,20004179,4179
"  4183 Cuno (1959 LM)",Cuno,0.6361,1.981,175.91,6.67,237.02,3.651,294.35,2.79,Y,Y,20004183,4183
"  4450 Pan (1987 SY)",Pan,0.5866,1.443,192.17,5.52,291.94,,311.70,1.73,Y,Y,20004450,4450
"  4486 Mithra (1987 SB)",Mithra,0.6620,2.205,156.61,3.04,169.12,1.849,82.18,3.28,Y,Y,20004486,4486
"  4581 Asclepius (1989 FC)",Asclepius,0.3570,1.023,212.12,4.92,255.38,,180.20,1.03,Y,Y,20004581,4581
"  4660 Nereus (1982 DB)",Nereus,0.3587,1.485,191.96,1.45,159.54,0.33,313.11,1.81,Y,Y,20004660,4660
"  4769 Castalia (1989 PB)",Castalia,0.4832,1.063,324.11,8.88,121.44,1.4,325.51,1.1,Y,Y,20004769,4769
"  4953 (1990 MU)",,0.6574,1.621,285.02,24.38,77.93,,77.53,2.06,Y,Y,20004953,4953
"  5011 Ptah (6743 P-L)",Ptah,0.5001,1.636,173.66,7.41,105.94,,10.63,2.09,Y,Y,20005011,5011
"  5189 (1990 UQ)",,0.4783,1.552,257.64,3.58,159.95,,135.05,1.93,Y,Y,20005189,5189
"  5693 (1993 EA)",,0.5851,1.271,203.14,5.06,258.98,,96.98,1.43,Y,Y,20005693,5693
"  6037 (1988 EG)",,0.4997,1.272,249.72,3.51,242.32,,182.18,1.43,Y,Y,20006037,6037
"  6239 Minos (1989 QF)",Minos,0.4126,1.151,224.50,3.94,239.77,,344.53,1.23,Y,Y,20006239,6239
"  6489 Golevka (1991 JX)",Golevka,0.6151,2.484,151.88,2.27,68.66,0.53,209.42,3.91,Y,Y,20006489,6489
"  7335 (1989 JA)",,0.4846,1.772,349.17,15.17,232.27,1.8,61.28,2.36,Y,Y,20007335,7335
"  7341 (1991 VK)",,0.5061,1.841,37.89,5.41,173.48,0.982,294.73,2.5,Y,Y,20007341,7341
"  7482 (1994 PC1)",,0.3294,1.349,246.56,33.47,47.49,1.052,117.85,1.57,Y,Y,20007482,7482
"  7753 (1988 XB)",,0.4817,1.467,95.85,3.12,280.08,,73.39,1.78,Y,Y,20007753,7753
"  7822 (1991 CS)",,0.1646,1.123,182.35,37.12,249.45,1.602,156.84,1.19,Y,Y,20007822,7822
"  8014 (1990 MF)",,0.4560,1.747,291.48,1.87,114.73,0.7,209.84,2.31,Y,Y,20008014,8014
"  8566 (1996 EN)",,0.4302,1.506,90.11,37.97,125.13,1.568,164.12,1.85,Y,Y,20008566,8566
"  9856 (1991 EE)",,0.6258,2.242,314.61,9.83,116.18,1.0,168.11,3.36,Y,Y,20009856,9856
" 10115 (1992 SK)",,0.3250,1.249,84.54,15.32,233.69,0.938,8.89,1.4,Y,Y,20010115,10115
" 11500 Tomaiyowit (1989 UR)",Tomaiyowit,0.3558,1.08,323.61,10.31,289.52,0.738,234.39,1.12,Y,Y,20011500,11500
" 12538 (1998 OH)",,0.4058,1.542,317.04,24.54,321.79,1.663,220.69,1.91,Y,Y,20012538,12538
" 12923 Zephyr (1999 GK4)",Zephyr,0.4918,1.963,51.56,5.30,147.13,2.060,168.17,2.75,Y,Y,20012923,12923
" 13651 (1997 BR)",,0.3057,1.335,262.62,17.25,133.86,0.562,116.63,1.54,Y,Y,20013651,13651
" 14827 Hypnos (1986 JK)",Hypnos,0.6649,2.841,21.63,1.98,238.19,0.9,57.93,4.79,Y,Y,20014827,14827
" 16960 (1998 QS52)",,0.8590,2.201,308.68,17.52,243.25,,260.15,3.26,Y,Y,20016960,16960
" 20425 (1998 VD35)",,0.4764,1.565,32.70,6.99,296.32,,227.25,1.96,Y,Y,20020425,20425
" 22753 (1998 WT)",,0.5699,1.219,165.33,3.20,324.80,,307.36,1.35,Y,Y,20022753,22753
" 23187 (2000 PN9)",,0.5893,1.847,167.50,51.33,293.53,,164.29,2.51,Y,Y,20023187,23187
" 25143 Itokawa (1998 SF36)",Itokawa,0.2803,1.324,142.57,1.62,162.82,0.33,69.08,1.52,Y,Y,20025143,25143
" 26663 (2000 XK47)",,0.4717,1.546,108.78,13.53,231.23,,303.59,1.92,Y,Y,20026663,26663
" 27002 (1998 DV9)",,0.4333,1.744,203.62,8.70,0.82,,130.34,2.3,Y,Y,20027002,27002
" 29075 (1950 DA)",,0.5077,1.699,223.31,12.16,224.76,1.3,356.59,2.21,Y,Y,20029075,29075
" 31669 (1999 JT6)",,0.5776,2.137,97.39,9.54,39.10,,78.77,3.12,Y,Y,20031669,31669
" 35107 (1991 VH)",,0.1442,1.137,100.55,13.91,206.96,0.929,139.34,1.21,Y,Y,20035107,35107
" 35396 (1997 XF11)",,0.4837,1.442,272.13,4.10,103.04,0.704,213.65,1.73,Y,Y,20035396,35396
" 37638 (1993 VB)",,0.5199,1.913,236.56,5.08,323.20,,145.56,2.65,Y,Y,20037638,37638
" 37655 Illapa (1994 PM)",Illapa,0.7525,1.478,254.99,18.03,303.90,,139.52,1.8,Y,Y,20037655,37655
" 41429 (2000 GE2)",,0.5553,1.593,42.91,2.17,297.20,0.204,351.91,2.01,Y,Y,20041429,41429
" 52760 (1998 ML14)",,0.6233,2.409,347.09,2.43,20.37,1.0,338.68,3.74,Y,Y,20052760,52760
" 52768 (1998 OR2)",,0.5755,2.38,81.21,5.88,174.59,1.75,26.94,3.67,Y,Y,20052768,52768
" 53319 (1999 JM8)",,0.6414,2.724,228.77,13.84,166.80,7.,133.62,4.49,Y,Y,20053319,53319
" 53426 (1999 SL5)",,0.5391,1.923,167.90,22.77,43.36,,239.06,2.67,Y,Y,20053426,53426
" 53429 (1999 TF5)",,0.6410,2.022,281.57,26.78,64.09,,199.16,2.87,Y,Y,20053429,53429
" 53550 (2000 BF19)",,0.4196,1.495,67.25,7.17,324.95,,313.14,1.83,Y,Y,20053550,53550
" 53789 (2000 ED104)",,0.2692,1.371,236.89,40.78,218.35,0.843,190.02,1.6,Y,Y,20053789,53789
" 65690 (1991 DG)",,0.3632,1.428,212.30,11.14,63.37,,180.10,1.71,Y,Y,20065690,65690
" 65717 (1993 BX3)",,0.2810,1.395,104.62,2.81,290.95,,174.75,1.65,Y,Y,20065717,65717
" 65803 Didymos (1996 GT)",Didymos,0.3833,1.643,339.93,3.41,319.60,0.78,72.99,2.11,Y,Y,20065803,65803
" 65909 (1998 FH12)",,0.5397,1.091,196.93,3.56,284.51,,108.59,1.14,Y,Y,20065909,65909
" 67381 (2000 OL8)",,0.5430,1.321,38.01,10.67,266.96,,294.84,1.52,Y,Y,20067381,67381
" 68216 (2001 CV26)",,0.3267,1.32,301.79,17.99,48.74,0.994,18.13,1.52,Y,Y,20068216,68216
" 68346 (2001 KZ66)",,0.4166,1.507,133.79,16.70,140.29,0.736,219.37,1.85,Y,Y,20068346,68346
" 68372 (2001 PM9)",,0.4160,1.618,157.97,8.11,322.33,,252.96,2.06,Y,Y,20068372,68372
" 68548 (2001 XR31)",,0.4368,1.707,186.50,22.72,24.71,1.182,302.02,2.23,Y,Y,20068548,68548
" 68950 (2002 QF15)",,0.3443,1.057,54.57,25.15,255.57,1.650,236.21,1.09,Y,Y,20068950,68950
" 69230 Hermes (1937 UB)",Hermes,0.6239,1.655,279.39,6.07,92.90,,34.05,2.13,Y,Y,20069230,69230
" 85182 (1991 AQ)",,0.7777,2.22,59.27,3.12,243.23,1.1,339.40,3.31,Y,Y,20085182,85182
" 85236 (1993 KH)",,0.3110,1.234,252.62,12.81,293.82,,54.36,1.37,Y,Y,20085236,85236
" 85585 Mjolnir (1998 FG2)",Mjolnir,0.3563,1.298,37.53,4.08,95.42,,2.31,1.48,Y,Y,20085585,85585
" 85640 (1998 OX4)",,0.4859,1.58,15.27,4.52,117.30,,299.57,1.99,Y,Y,20085640,85640
" 85713 (1998 SS49)",,0.6388,1.923,239.57,10.79,103.13,3.484,40.95,2.67,Y,Y,20085713,85713
" 85774 (1998 UT18)",,0.3288,1.403,178.64,13.59,50.15,0.939,64.62,1.66,Y,Y,20085774,85774
" 85938 (1999 DJ4)",,0.4846,1.853,41.94,9.14,197.79,,19.87,2.52,Y,Y,20085938,85938
" 85990 (1999 JV6)",,0.3111,1.008,312.19,5.36,235.57,0.451,124.30,1.01,Y,Y,20085990,85990
" 86039 (1999 NC43)",,0.5789,1.76,217.35,7.13,120.81,2.22,311.62,2.33,Y,Y,20086039,86039
" 86819 (2000 GK137)",,0.5059,1.995,212.48,10.06,150.30,0.802,164.88,2.82,Y,Y,20086819,86819
" 88254 (2001 FM129)",,0.6296,1.182,166.57,1.52,140.23,0.800,272.11,1.29,Y,Y,20088254,88254
" 88959 (2001 TZ44)",,0.5635,1.724,18.09,53.83,114.92,,38.96,2.26,Y,Y,20088959,88959
" 89136 (2001 US16)",,0.2530,1.356,332.59,1.91,67.20,,175.90,1.58,Y,Y,20089136,89136
" 89958 (2002 LY45)",,0.8864,1.642,186.10,9.91,222.94,,188.16,2.1,Y,Y,20089958,89958
" 89959 (2002 NT7)",,0.5284,1.735,206.61,42.36,300.71,1.407,132.00,2.29,Y,Y,20089959,89959
" 90075 (2002 VU94)",,0.5755,2.136,128.37,8.91,30.77,2.233,226.73,3.12,Y,Y,20090075,90075
" 90403 (2003 YE45)",,0.2802,1.234,341.08,19.01,306.85,0.572,286.23,1.37,Y,Y,20090403,90403
" 90416 (2003 YK118)",,0.4924,1.695,117.11,7.83,233.29,0.968,326.76,2.21,Y,Y,20090416,90416
" 99248 (2001 KY66)",,0.5073,1.867,359.76,10.61,61.58,1.115,284.11,2.55,Y,Y,20099248,99248
"100085 (1992 UY4)",,0.6190,2.651,158.29,2.64,42.24,,305.18,4.32,Y,Y,20100085,100085
"101869 (1999 MM)",,0.6109,1.624,52.69,4.77,268.84,,110.92,2.07,Y,Y,20101869,101869
"101955 Bennu (1999 RQ36)",Bennu,0.2037,1.126,101.70,6.03,66.22,0.482,2.06,1.2,Y,Y,20101955,101955
"103067 (1999 XA143)",,0.5812,1.844,289.32,38.56,104.10,1.282,116.52,2.5,Y,Y,20103067,103067
"111253 (2001 XU10)",,0.4394,1.754,62.23,42.02,6.97,3.006,310.15,2.32,Y,Y,20111253,111253
"136617 (1994 CC)",,0.4169,1.638,103.64,4.68,24.92,,268.51,2.1,Y,Y,20136617,136617
"136618 (1994 CN2)",,0.3948,1.573,340.11,1.44,248.28,,99.34,1.97,Y,Y,20136618,136618
"136795 Tatsunokingo (1997 BQ)",Tatsunokingo,0.4780,1.747,340.73,10.99,147.57,,50.13,2.31,Y,Y,20136795,136795
"136849 (1998 CS1)",,0.5785,1.492,204.65,7.79,97.80,,110.68,1.82,Y,Y,20136849,136849
"137108 (1999 AN10)",,0.5621,1.459,177.03,39.93,268.33,,314.34,1.76,Y,Y,20137108,137108
"137120 (1999 BJ8)",,0.5490,1.901,272.88,8.97,222.00,,339.46,2.62,Y,Y,20137120,137120
"137126 (1999 CF9)",,0.6012,1.772,280.89,5.55,90.54,,156.87,2.36,Y,Y,20137126,137126
"137427 (1999 TF211)",,0.6116,2.44,132.56,39.49,162.38,,347.91,3.81,Y,Y,20137427,137427
"138175 (2000 EE104)",,0.2932,1.004,52.66,5.24,280.87,,25.50,1.01,Y,Y,20138175,138175
"138404 (2000 HA24)",,0.3186,1.139,139.80,2.16,142.20,,309.35,1.22,Y,Y,20138404,138404
"138727 (2000 SU180)",,0.6052,2.105,289.27,11.92,136.32,,327.89,3.05,Y,Y,20138727,138727
"138971 (2001 CB21)",,0.3334,1.034,115.89,7.92,271.93,,353.67,1.05,Y,Y,20138971,138971
"139359 (2001 ME1)",,0.8700,2.634,138.82,5.96,302.40,,84.57,4.27,Y,Y,20139359,139359
"139622 (2001 QQ142)",,0.3101,1.421,190.84,9.34,337.95,,83.16,1.69,Y,Y,20139622,139622
"140039 (2001 SO73)",,0.5679,1.821,222.91,4.85,31.03,,197.14,2.46,Y,Y,20140039,140039
"140158 (2001 SX169)",,0.4608,1.347,94.39,2.52,42.73,0.566,126.78,1.56,Y,Y,20140158,140158
"140288 (2001 SN289)",,0.5082,1.784,344.42,53.19,225.64,1.263,357.06,2.38,Y,Y,20140288,140288
"141053 (2001 XT1)",,0.5795,1.528,67.95,2.73,31.39,,316.21,1.89,Y,Y,20141053,141053
"141495 (2002 EZ11)",,0.8021,1.114,194.78,2.35,317.78,,51.88,1.18,Y,Y,20141495,141495
"141525 (2002 FV5)",,0.7245,1.087,251.11,34.04,308.11,,38.84,1.13,Y,Y,20141525,141525
"141527 (2002 FG7)",,0.6268,1.513,82.57,9.20,247.69,,187.48,1.86,Y,Y,20141527,141527
"141593 (2002 HK12)",,0.5287,2.002,301.23,2.35,2.25,,306.98,2.83,Y,Y,20141593,141593
"141614 (2002 JV15)",,0.5361,1.624,269.02,7.19,127.39,,200.62,2.07,Y,Y,20141614,141614
"141851 (2002 PM6)",,0.8501,1.198,11.09,19.13,224.53,,304.00,1.31,Y,Y,20141851,141851
"143404 (2003 BD44)",,0.6075,1.968,242.26,2.66,89.36,,181.18,2.76,Y,Y,20143404,143404
"143487 (2003 CR20)",,0.7301,2.124,329.95,4.99,88.83,,177.06,3.1,Y,Y,20143487,143487
"143624 (2003 HM16)",,0.5773,1.967,262.55,35.54,47.18,2.137,195.84,2.76,Y,Y,20143624,143624
"143649 (2003 QQ47)",,0.1870,1.085,174.10,62.10,104.96,,0.99,1.13,Y,Y,20143649,143649
"143651 (2003 QO104)",,0.5262,2.133,335.50,11.62,183.60,,58.17,3.12,Y,Y,20143651,143651
"143992 (2004 AF)",,0.5538,1.971,205.38,27.13,57.98,,315.62,2.77,Y,Y,20143992,143992
"144332 (2004 DV24)",,0.2898,1.423,206.42,55.89,186.41,,171.13,1.7,Y,Y,20144332,144332
"144898 (2004 VD17)",,0.5886,1.508,306.24,4.22,90.98,,223.98,1.85,Y,Y,20144898,144898
"152560 (1991 BN)",,0.3979,1.443,256.49,3.45,80.99,,268.81,1.73,Y,Y,20152560,152560
"152561 (1991 RB)",,0.4857,1.454,279.78,19.58,68.96,,359.29,1.75,Y,Y,20152561,152561
"152664 (1998 FW4)",,0.7143,2.525,264.00,3.42,85.47,,353.60,4.01,Y,Y,20152664,152664
"152671 (1998 HL3)",,0.3659,1.129,286.27,2.68,188.16,0.298,163.64,1.2,Y,Y,20152671,152671
"152680 (1998 KJ9)",,0.6396,1.448,16.67,10.93,260.12,,98.54,1.74,Y,Y,20152680,152680
"152685 (1998 MZ)",,0.5729,1.346,349.07,0.15,39.24,,122.28,1.56,Y,Y,20152685,152685
"152754 (1999 GS6)",,0.4974,1.191,283.40,2.02,134.97,0.414,314.42,1.3,Y,Y,20152754,152754
"152770 (1999 RR28)",,0.6542,1.879,231.90,7.14,284.58,,178.16,2.57,Y,Y,20152770,152770
"152828 (1999 VT25)",,0.5231,1.162,253.70,5.15,319.24,,221.94,1.25,Y,Y,20152828,152828
"152978 (2000 GJ147)",,0.2367,1.162,134.02,25.01,240.80,0.531,57.85,1.25,Y,Y,20152978,152978
"153002 (2000 JG5)",,0.7961,1.341,307.51,31.43,233.45,,213.04,1.55,Y,Y,20153002,153002
"153220 (2000 YN29)",,0.6683,2.542,288.37,6.23,142.59,,64.22,4.05,Y,Y,20153220,153220
"153311 (2001 MG1)",,0.6459,2.502,304.13,28.40,218.52,,142.33,3.96,Y,Y,20153311,153311
"153814 (2001 WN5)",,0.4670,1.712,110.47,1.92,44.67,0.932,277.35,2.24,Y,Y,20153814,153814
"153958 (2002 AM31)",,0.4515,1.703,166.89,4.64,197.96,,144.37,2.22,Y,Y,20153958,153958
"154019 (2002 CZ9)",,0.3601,1.325,264.53,4.97,80.88,,142.84,1.53,Y,Y,20154019,154019
"154269 (2002 SM)",,0.4865,1.872,300.04,14.40,217.51,,10.78,2.56,Y,Y,20154269,154269
"154275 (2002 SR41)",,0.4907,1.084,119.73,11.58,258.20,,247.77,1.13,Y,Y,20154275,154275
"154276 (2002 SY50)",,0.6888,1.704,288.08,8.75,99.68,1.060,34.03,2.23,Y,Y,20154276,154276
"154302 (2002 UQ3)",,0.5615,1.72,230.42,28.83,280.97,,222.70,2.25,Y,Y,20154302,154302
"154330 (2002 VX94)",,0.4086,1.477,353.41,7.16,215.23,,320.06,1.79,Y,Y,20154330,154330
"154590 (2003 MA3)",,0.4022,1.105,56.99,1.42,228.88,0.086,152.67,1.16,Y,Y,20154590,154590
"155338 (2006 MZ1)",,0.4826,1.569,81.14,2.08,138.70,,226.58,1.97,Y,Y,20155338,155338
"159504 (2000 WO67)",,0.6172,2.433,138.95,9.69,237.82,2.324,107.57,3.8,Y,Y,20159504,159504
"159857 (2004 LJ1)",,0.5935,2.263,319.37,23.15,140.02,3.070,235.54,3.4,Y,Y,20159857,159857
"161989 Cacus (1978 CA)",Cacus,0.2139,1.123,338.81,26.06,102.09,1.9,161.21,1.19,Y,Y,20161989,161989
"162000 (1990 OS)",,0.4624,1.678,239.67,1.09,21.59,0.4,346.51,2.17,Y,Y,20162000,162000
"162039 (1996 JG)",,0.6604,1.802,246.30,5.28,280.26,,52.83,2.42,Y,Y,20162039,162039
"162082 (1998 HL1)",,0.1870,1.246,228.22,20.05,148.66,,213.53,1.39,Y,Y,20162082,162082
"162116 (1998 SA15)",,0.5585,1.916,267.66,7.11,331.44,0.538,114.17,2.65,Y,Y,20162116,162116
"162120 (1998 SH36)",,0.5709,1.088,279.53,2.13,278.85,,217.82,1.13,Y,Y,20162120,162120
"162162 (1999 DB7)",,0.1949,1.206,110.33,10.84,29.93,,157.59,1.32,Y,Y,20162162,162162
"162173 Ryugu (1999 JU3)",Ryugu,0.1911,1.191,327.33,5.87,211.61,0.896,251.29,1.3,Y,Y,20162173,162173
"162183 (1999 NB5)",,0.5351,2.072,143.03,1.43,123.19,,235.31,2.98,Y,Y,20162183,162183
"162210 (1999 SM5)",,0.6950,2.306,82.39,5.19,319.31,,327.62,3.5,Y,Y,20162210,162210
"162416 (2000 EH26)",,0.4780,1.855,243.90,0.40,19.22,,215.25,2.53,Y,Y,20162416,162416
"162422 (2000 EV70)",,0.5311,1.207,240.88,1.40,314.50,,108.93,1.33,Y,Y,20162422,162422
"162474 (2000 LB16)",,0.3574,1.241,163.39,50.71,285.25,,80.85,1.38,Y,Y,20162474,162474
"162510 (2000 QW69)",,0.3023,1.376,91.40,38.14,220.73,1.406,344.33,1.61,Y,Y,20162510,162510
"162567 (2000 RW37)",,0.2501,1.247,12.21,13.75,133.29,0.335,333.29,1.39,Y,Y,20162567,162567
"162687 (2000 UH1)",,0.5436,1.875,92.72,14.77,40.97,,76.13,2.57,Y,Y,20162687,162687
"162695 (2000 UL11)",,0.6354,2.122,246.49,2.19,152.12,,333.18,3.09,Y,Y,20162695,162695
"162783 (2000 YJ11)",,0.2323,1.314,327.02,7.26,339.16,,64.92,1.51,Y,Y,20162783,162783
"162825 (2001 BO61)",,0.7444,1.773,338.79,9.07,79.16,,159.52,2.36,Y,Y,20162825,162825
"162882 (2001 FD58)",,0.5752,1.092,348.46,6.50,46.02,,341.15,1.14,Y,Y,20162882,162882
"162922 (2001 OY13)",,0.3820,1.319,174.17,10.30,291.31,,284.18,1.51,Y,Y,20162922,162922
"162979 (2001 RA12)",,0.5441,2.037,359.93,17.09,326.05,,311.58,2.91,Y,Y,20162979,162979
"162998 (2001 SK162)",,0.4743,1.926,181.51,1.68,186.45,0.875,285.29,2.67,Y,Y,20162998,162998
"163014 (2001 UA5)",,0.4456,1.787,207.87,9.94,27.68,,58.62,2.39,Y,Y,20163014,163014
"163026 (2001 XR30)",,0.3652,1.297,106.07,11.86,294.50,,247.85,1.48,Y,Y,20163026,163026
"163051 (2001 YJ4)",,0.5676,2.274,208.69,9.29,322.44,,247.77,3.43,Y,Y,20163051,163051
"163067 (2002 AP3)",,0.5862,2.046,254.83,7.61,117.82,,87.30,2.93,Y,Y,20163067,163067
"163132 (2002 CU11)",,0.2952,1.22,229.17,48.78,110.53,0.460,157.74,1.35,Y,Y,20163132,163132
"163249 (2002 GT)",,0.3347,1.344,59.89,6.97,135.14,,201.73,1.56,Y,Y,20163249,163249
"163364 (2002 OD20)",,0.3689,1.365,84.09,4.19,275.35,,259.85,1.6,Y,Y,20163364,163364
"163373 (2002 PZ39)",,0.5465,1.469,196.11,1.67,260.13,,328.77,1.78,Y,Y,20163373,163373
"163683 (2002 YP2)",,0.6881,1.577,31.53,20.63,281.41,,52.46,1.98,Y,Y,20163683,163683
"163697 (2003 EF54)",,0.4728,1.609,176.37,2.95,353.79,,268.45,2.04,Y,Y,20163697,163697
"163818 (2003 RX7)",,0.3545,1.229,68.68,10.39,245.91,0.386,241.01,1.36,Y,Y,20163818,163818
"164121 (2003 YT1)",,0.2920,1.11,235.13,44.06,91.00,1.717,38.31,1.17,Y,Y,20164121,164121
"164207 (2004 GU9)",,0.1359,1.001,63.63,13.65,279.48,0.163,38.41,1,Y,Y,20164207,164207
"164211 (2004 JA27)",,0.4233,1.666,128.89,2.26,270.22,,67.76,2.15,Y,Y,20164211,164211
"164216 (2004 OT11)",,0.5651,2.153,167.15,19.99,326.60,,294.89,3.16,Y,Y,20164216,164216
"164400 (2005 GN59)",,0.4679,1.657,169.72,6.63,203.05,,218.96,2.13,Y,Y,20164400,164400
"168318 (1989 DA)",,0.5417,2.162,83.00,6.49,139.82,0.9,349.07,3.18,Y,Y,20168318,168318
"170086 (2002 XR14)",,0.6260,1.905,69.28,2.13,120.49,,75.48,2.63,Y,Y,20170086,170086
"170903 (2004 WS2)",,0.6031,1.336,267.96,8.27,115.46,,87.67,1.54,Y,Y,20170903,170903
"171576 (1999 VP11)",,0.5836,1.086,111.24,17.28,61.74,,208.08,1.13,Y,Y,20171576,171576
"171839 (2001 JM1)",,0.3108,1.46,118.84,17.08,321.98,,226.64,1.77,Y,Y,20171839,171839
"172678 (2003 YM137)",,0.7028,2.559,326.04,2.82,131.02,,73.98,4.09,Y,Y,20172678,172678
"173561 (2000 YV137)",,0.3109,1.448,330.30,28.00,211.38,,137.22,1.74,Y,Y,20173561,173561
"175706 (1996 FG3)",,0.3501,1.055,32.72,1.97,24.06,1.196,299.50,1.08,Y,Y,20175706,175706
"175729 (1998 BB10)",,0.4246,1.271,280.61,11.54,259.25,,124.27,1.43,Y,Y,20175729,175729
"177049 (2003 EE16)",,0.6143,1.418,5.13,0.65,259.50,,127.23,1.69,Y,Y,20177049,177049
"177614 (2004 HK33)",,0.5204,1.889,294.36,5.44,221.54,,104.70,2.6,Y,Y,20177614,177614
"179806 (2002 TD66)",,0.5347,1.858,220.46,4.93,125.88,,335.53,2.53,Y,Y,20179806,179806
"180186 (2003 QZ30)",,0.6315,2.422,198.78,8.57,243.10,,178.04,3.77,Y,Y,20180186,180186
"184266 (2004 VW14)",,0.5977,2.121,140.17,3.83,42.78,,100.83,3.09,Y,Y,20184266,184266
"185851 (2000 DP107)",,0.3765,1.365,62.22,8.67,289.77,0.863,358.65,1.6,Y,Y,20185851,185851
"186844 (2004 GA1)",,0.6726,2.43,114.88,7.77,54.63,,261.48,3.79,Y,Y,20186844,186844
"187040 (2005 JS108)",,0.3222,1.355,28.42,6.04,244.00,0.430,110.84,1.58,Y,Y,20187040,187040
"189040 (2000 MU1)",,0.3825,1.372,84.71,13.09,63.78,,130.03,1.61,Y,Y,20189040,189040
"189865 (2003 NC)",,0.8055,1.406,315.33,21.57,224.33,,288.39,1.67,Y,Y,20189865,189865
"192559 (1998 VO)",,0.2266,1.075,182.11,10.06,75.97,,228.12,1.11,Y,Y,20192559,192559
"192563 (1998 WZ6)",,0.4078,1.452,226.25,24.76,110.75,,68.68,1.75,Y,Y,20192563,192563
"194006 (2001 SG10)",,0.4243,1.449,114.85,4.26,101.62,,184.93,1.74,Y,Y,20194006,194006
"194268 (2001 UY4)",,0.7875,1.453,74.45,5.44,107.81,1.244,160.69,1.75,Y,Y,20194268,194268
"196068 (2002 TW55)",,0.6645,2.118,85.27,59.35,251.12,,33.54,3.08,Y,Y,20196068,196068
"196625 (2003 RM10)",,0.5917,1.848,166.92,13.72,287.44,,341.17,2.51,Y,Y,20196625,196625
"197588 (2004 HE12)",,0.4659,1.845,69.47,42.71,162.22,,338.03,2.51,Y,Y,20197588,197588
"199145 (2005 YY128)",,0.7323,1.649,261.48,3.77,315.17,,299.96,2.12,Y,Y,20199145,199145
"199801 (2007 AE12)",,0.5694,1.684,128.40,2.29,86.98,,245.44,2.19,Y,Y,20199801,199801
"206378 (2003 RB)",,0.4389,1.788,287.00,6.72,44.07,0.376,317.13,2.39,Y,Y,20206378,206378
"206910 (2004 NL8)",,0.7156,2.574,302.11,5.02,278.14,,150.90,4.13,Y,Y,20206910,206910
"207398 (2006 AS2)",,0.6419,2.091,49.89,2.60,80.07,,125.63,3.02,Y,Y,20207398,207398
"207945 (1991 JW)",,0.1186,1.039,92.10,8.71,301.95,0.423,53.85,1.06,Y,Y,20207945,207945
"208115 (2000 CT101)",,0.3547,1.299,278.65,23.30,292.43,,135.55,1.48,Y,Y,20208115,208115
"214869 (2007 PA8)",,0.6530,2.849,175.77,2.00,293.85,,141.30,4.81,Y,Y,20214869,214869
"215588 (2003 HF2)",,0.6755,1.114,195.33,3.06,231.04,0.488,189.88,1.18,Y,Y,20215588,215588
"216115 (2006 SU19)",,0.5864,1.527,92.91,2.09,10.63,,152.22,1.89,Y,Y,20216115,216115
"216258 (2006 WH1)",,0.4849,1.671,65.58,2.63,263.68,,240.31,2.16,Y,Y,20216258,216258
"216985 (2000 QK130)",,0.2620,1.181,358.14,4.72,66.40,,173.81,1.28,Y,Y,20216985,216985
"217430 (2005 SN25)",,0.2706,1.23,121.18,13.01,45.20,,168.27,1.36,Y,Y,20217430,217430
